transporte_id,fecha,n_paradas,real_distancia_m,real_tiempo_s,real_n_movimientos_descarga,real_pct_retornables_recogidos,opt_distancia_m,opt_tiempo_s,opt_n_movimientos_descarga,opt_pct_retornables_recogidos,delta_distancia_pct,delta_tiempo_pct,delta_movimientos_pct,delta_retornables_pp,status
11420329,2026-01-30,5,21632,5004,98,0.75,19358,4768,65,1.0,-10.5122,-4.7162,-33.6735,25.0,OPTIMAL
11420332,2026-01-30,8,4414,5640,81,0.75,3437,5467,54,1.0,-22.1341,-3.0674,-33.3333,25.0,OPTIMAL
11420334,2026-01-30,5,123267,10833,36,0.75,123267,10833,24,1.0,0.0,0.0,-33.3333,25.0,OPTIMAL
11420379,2026-01-30,9,7442,6737,80,0.75,3847,6152,53,1.0,-48.3069,-8.6834,-33.75,25.0,OPTIMAL
11420393,2026-01-30,15,129848,18669,201,0.75,112240,16378,134,1.0,-13.5605,-12.2717,-33.3333,25.0,OPTIMAL
11420414,2026-01-30,8,35558,8930,81,0.75,31424,8468,54,1.0,-11.6261,-5.1736,-33.3333,25.0,OPTIMAL
11420416,2026-01-30,10,40621,10305,188,0.75,30609,8957,125,1.0,-24.6473,-13.081,-33.5106,25.0,OPTIMAL
11420417,2026-01-30,7,31655,7381,48,0.75,26166,6666,32,1.0,-17.3401,-9.687,-33.3333,25.0,OPTIMAL
11420461,2026-01-30,15,163717,19283,176,0.75,138869,17225,117,1.0,-15.1774,-10.6726,-33.5227,25.0,OPTIMAL
11424196,2026-02-02,5,26679,5402,51,0.75,23123,4937,34,1.0,-13.3288,-8.6079,-33.3333,25.0,OPTIMAL
11426175,2026-02-02,12,12780,8823,140,0.75,12038,8724,93,1.0,-5.8059,-1.1221,-33.5714,25.0,OPTIMAL
11426177,2026-02-02,9,7517,6974,171,0.75,4338,6463,114,1.0,-42.2908,-7.3272,-33.3333,25.0,OPTIMAL
11426178,2026-02-02,15,12958,11208,192,0.75,7143,10224,128,1.0,-44.8758,-8.7794,-33.3333,25.0,OPTIMAL
11426271,2026-02-02,11,30008,10402,177,0.75,16957,8919,118,1.0,-43.4917,-14.2569,-33.3333,25.0,OPTIMAL
11426277,2026-02-02,15,184403,21383,212,0.75,147491,17837,141,1.0,-20.017,-16.5833,-33.4906,25.0,OPTIMAL
11426278,2026-02-02,6,139346,11601,132,0.75,139214,11533,88,1.0,-0.0947,-0.5862,-33.3333,25.0,OPTIMAL
11426279,2026-02-02,18,106516,17763,216,0.75,102168,17143,144,1.0,-4.082,-3.4904,-33.3333,25.0,OPTIMAL
11426280,2026-02-02,17,140851,19985,172,0.75,129320,18435,115,1.0,-8.1867,-7.7558,-33.1395,25.0,OPTIMAL
11426311,2026-02-02,15,146640,19569,213,0.75,115915,16257,142,1.0,-20.9527,-16.9247,-33.3333,25.0,OPTIMAL
11426319,2026-02-02,17,28271,13845,302,0.75,12265,12019,201,1.0,-56.6163,-13.1889,-33.4437,25.0,OPTIMAL
11426320,2026-02-02,12,65375,12739,192,0.75,25728,9836,128,1.0,-60.6455,-22.7883,-33.3333,25.0,OPTIMAL
11426331,2026-02-02,14,80929,16032,262,0.75,43453,12550,175,1.0,-46.3073,-21.7191,-33.2061,25.0,OPTIMAL
11426340,2026-02-02,14,249317,24115,66,0.75,163975,18281,44,1.0,-34.2303,-24.1924,-33.3333,25.0,OPTIMAL
11426421,2026-02-02,16,34262,13518,291,0.75,24733,12236,194,1.0,-27.8122,-9.4837,-33.3333,25.0,OPTIMAL
11426422,2026-02-02,22,36141,17464,284,0.75,25007,15677,189,1.0,-30.8071,-10.2325,-33.4507,25.0,OPTIMAL
11426423,2026-02-02,7,28671,6929,114,0.75,24389,6384,76,1.0,-14.935,-7.8655,-33.3333,25.0,OPTIMAL
11426427,2026-02-02,19,79188,20813,237,0.75,43540,16793,158,1.0,-45.0169,-19.3149,-33.3333,25.0,OPTIMAL
11433234,2026-02-03,17,105075,16869,219,0.75,101674,16362,146,1.0,-3.2367,-3.0055,-33.3333,25.0,OPTIMAL
11433235,2026-02-03,10,114210,13326,141,0.75,107717,12549,94,1.0,-5.6851,-5.8307,-33.3333,25.0,OPTIMAL
11433236,2026-02-03,16,127413,17685,219,0.75,122012,16779,146,1.0,-4.239,-5.123,-33.3333,25.0,OPTIMAL
